ISO_numeric,ISO_code,Country,World_region,Survey,Year,Subnational_region,MPI_country,MPI_region,Headcount_ratio_H,Intensity_A,Vulnerable_to_poverty,Severe_poverty,Pop_survey_year_thousands,Pop_2022_thousands,Pop_2023_thousands,Pop_share_by_region_pct,Pop_size_by_region_thousands,MPI_poor_by_region_thousands,Total_indicators,Indicators_missing
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ahafo,0.1127845642449952,0.1268990253919207,29.810048129647086,42.56921184428256,29.07061124325275,6.313860944758829,33149.152,33149.152,33787.914,2.15202774690261,727.1253051757812,216.75640869140625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ashanti,0.1127845642449952,0.0600137072751696,15.23727525262041,39.38611482709078,22.774249024495692,1.72788222818883,33149.152,33149.152,33787.914,18.62692018499346,6293.64794921875,958.98046875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono,0.1127845642449952,0.066108027100529,15.9302223028267,41.49849628200014,21.17093904437013,4.462125889953731,33149.152,33149.152,33787.914,3.53359699797664,1193.9287109375,190.19549560546875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono East,0.1127845642449952,0.1708596453775111,34.78247356883192,49.12233888121632,21.138857548752828,14.62542017010469,33149.152,33149.152,33787.914,4.3394837009956095,1466.2210693359375,509.9879455566406,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Central,0.1127845642449952,0.082089261908519,19.71186638512477,41.64459128561578,22.58951051251549,5.16616806384925,33149.152,33149.152,33787.914,11.26833685161065,3807.3359375,750.4969482421875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Eastern,0.1127845642449952,0.0687869651546916,17.13410294359986,40.14623081296806,18.22904891354531,1.7558432903104,33149.152,33149.152,33787.914,8.43005848870833,2848.3408203125,488.03765869140625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Greater Accra,0.1127845642449952,0.021051686397721,5.39862519084401,38.994532225397485,12.79117013959954,0.37456810501321997,33149.152,33149.152,33787.914,14.48629407922427,4894.61669921875,264.24200439453125,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,North East,0.1127845642449952,0.3393637613787197,68.73955163030111,49.36950464907086,16.93510770686389,34.20377559098104,33149.152,33149.152,33787.914,2.3807361491818,804.4010620117188,552.9417114257812,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Northern,0.1127845642449952,0.3086394552423687,60.913721641159924,50.668297212334224,16.06661487562122,30.345395541399373,33149.152,33149.152,33787.914,8.4962308637483,2870.69921875,1748.6497802734375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Oti,0.1127845642449952,0.2192070969675215,46.7206907579576,46.91863356711727,19.14632308832867,19.464950930274767,33149.152,33149.152,33787.914,2.89738742703755,978.966796875,457.3800354003906,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Savannah,0.1127845642449952,0.3255019959326503,59.825358385396186,54.40869970820062,15.35778738202415,36.73456138973654,33149.152,33149.152,33787.914,2.58901728332206,874.7749633789062,523.3372802734375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper East,0.1127845642449952,0.1571300016164791,36.53958795750492,43.002674742588596,24.49381791658731,10.30777999355157,33149.152,33149.152,33787.914,4.62002110611125,1561.0087890625,570.3861694335938,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper West,0.1127845642449952,0.1766946384575234,38.96131208373498,45.35130595134333,26.690987860867484,13.82226485310278,33149.152,33149.152,33787.914,2.7703759912122,936.05224609375,364.6982421875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Volta,0.1127845642449952,0.0830632695794586,20.573512400699638,40.37388850366351,19.90972024030499,2.67041451450656,33149.152,33149.152,33787.914,4.494083450380329,1518.45703125,312.3999328613281,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western,0.1127845642449952,0.0537172205395812,12.55516716527768,42.7849504769164,22.705151518924673,3.6359825897548297,33149.152,33149.152,33787.914,6.261534737894429,2115.64208984375,265.6224060058594,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western North,0.1127845642449952,0.1015260773523636,22.87104531245523,44.390659003711555,22.65225942738458,8.03510881467045,33149.152,33149.152,33787.914,2.6538949407008396,896.6957397460938,205.0836944580078,10.0,
