ISO_numeric,ISO_code,Country,World_region,Survey,Year,Subnational_region,MPI_country,MPI_region,CH_Nutrition,CH_Child_mortality,CH_Years_schooling,CH_School_attendance,CH_Cooking_fuel,CH_Sanitation,CH_Drinking_water,CH_Electricity,CH_Housing,CH_Assets,Pop_survey_year_thousands,Pop_2022_thousands,Pop_2023_thousands,Pop_share_by_region_pct,Pop_size_by_region_thousands,MPI_poor_by_region_thousands,Total_indicators,Indicators_missing
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ahafo,0.1127845642449952,0.1268990253919207,16.440006761270958,1.5088865519628,10.59890939173968,6.6875541281448,29.653668040805393,26.79179059229368,15.554186730407372,19.49463996137343,22.46835407334403,8.74953580775927,33149.152,33149.152,33787.914,2.15202774690261,727.1253051757812,216.75640869140625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ashanti,0.1127845642449952,0.0600137072751696,10.43350572720118,2.75131541239649,4.367750394560311,1.58633155624382,15.20950230692368,13.894724125350269,3.65470597755397,6.44982794156679,5.74348006466463,5.65572340798868,33149.152,33149.152,33787.914,18.62692018499346,6293.64794921875,958.98046875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono,0.1127845642449952,0.066108027100529,7.2557288140625396,2.3745641808562,7.69630657022702,2.8011976153322697,15.36327949104268,14.844005911480359,9.327212016632561,7.94880569937295,4.6278775635919,6.49987655733883,33149.152,33149.152,33787.914,3.53359699797664,1193.9287109375,190.19549560546875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono East,0.1127845642449952,0.1708596453775111,19.49171712509577,2.65797298026208,18.15651677340951,15.291191197106672,34.128154699413535,33.67749747802485,16.74268880581779,20.52581811742426,27.91814756298672,7.762860788086289,33149.152,33149.152,33787.914,4.3394837009956095,1466.2210693359375,509.9879455566406,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Central,0.1127845642449952,0.082089261908519,13.40639352997818,2.5473966252232203,5.1200354619929005,3.7655924520312203,19.62701793846389,18.369075892133218,11.07630729284631,5.26200979019132,11.0844161702896,7.8235901436599296,33149.152,33149.152,33787.914,11.26833685161065,3807.3359375,750.4969482421875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Eastern,0.1127845642449952,0.0687869651546916,8.93418375398373,1.28041782796197,6.50265864675376,2.22155611617788,16.80212005420508,16.69822907863248,8.882114787893,7.31347618785774,10.95709583994225,6.3470522952167405,33149.152,33149.152,33787.914,8.43005848870833,2848.3408203125,488.03765869140625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Greater Accra,0.1127845642449952,0.021051686397721,3.18350841724421,0.44970257208734,2.16004111286848,1.54938301726123,3.82655926114285,5.14070681585617,0.59247135641692,2.16623988741002,1.32496455293315,2.81418828373782,33149.152,33149.152,33787.914,14.48629407922427,4894.61669921875,264.24200439453125,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,North East,0.1127845642449952,0.3393637613787197,42.033558022257914,3.53421431065113,37.73157524187289,30.08631253560672,68.14136596821811,65.70253536085204,54.730630103401026,27.058680069281337,42.95441145511377,12.110167193380219,33149.152,33149.152,33787.914,2.3807361491818,804.4010620117188,552.9417114257812,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Northern,0.1127845642449952,0.3086394552423687,37.5813243858946,6.78446695820382,31.63076663630512,32.15679129039387,60.534690084661925,59.88428410732492,33.385526325677574,22.94337854387895,44.072295140707,10.27079742136965,33149.152,33149.152,33787.914,8.4962308637483,2870.69921875,1748.6497802734375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Oti,0.1127845642449952,0.2192070969675215,26.12628698534447,3.7297829460876,24.068883565135028,18.50425277469927,46.5819269150944,45.647180609329155,33.1098316059669,21.608968784606432,17.53227147252445,12.80497634003304,33149.152,33149.152,33787.914,2.89738742703755,978.966796875,457.3800354003906,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Savannah,0.1127845642449952,0.3255019959326503,31.69320592625192,2.65861028366532,41.90385310388597,37.37415008698121,59.65618019935638,55.51689855200258,43.65871376772592,30.71612838651381,43.2218874007462,12.24432616980214,33149.152,33149.152,33787.914,2.58901728332206,874.7749633789062,523.3372802734375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper East,0.1127845642449952,0.1571300016164791,22.226405871081887,2.33597638116454,14.98266931128823,8.58643614415368,36.208560457762616,35.71344920264379,15.25391977541808,23.8609893343538,19.7423723345488,7.66024868173026,33149.152,33149.152,33787.914,4.62002110611125,1561.0087890625,570.3861694335938,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper West,0.1127845642449952,0.1766946384575234,16.276890166371018,3.4575965479064,25.5219278050829,10.97866836194117,38.369187422426606,38.60714440312141,19.65269954255852,22.1108707762502,16.546284239576032,14.05891419555158,33149.152,33149.152,33787.914,2.7703759912122,936.05224609375,364.6982421875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Volta,0.1127845642449952,0.0830632695794586,9.432757563284,1.30192828708977,10.331578862219299,2.38258088318211,20.02708024198404,19.46809160884451,10.38786184874355,7.85040868256506,9.69791881265976,11.73598726082589,33149.152,33149.152,33787.914,4.494083450380329,1518.45703125,312.3999328613281,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western,0.1127845642449952,0.0537172205395812,6.8143694112091495,1.5867614650984099,5.8300936402107695,2.59770635233052,12.55516716527768,11.624736553123451,6.338511435418489,5.16737047299212,5.02538831212211,5.4930304257186,33149.152,33149.152,33787.914,6.261534737894429,2115.64208984375,265.6224060058594,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western North,0.1127845642449952,0.1015260773523636,11.44573650365906,0.85083430272172,10.720197118877051,7.7231900308712005,22.56635908041509,21.69150421635943,15.2146810213925,11.68864088738517,12.81877523235658,6.5471049278678,33149.152,33149.152,33787.914,2.6538949407008396,896.6957397460938,205.0836944580078,10.0,
