school_name,type,Region,District,source_page,scraped_date,data_source,district_key,latitude,longitude,electrification_national,electrification_rural_national,electrification_urban_national,mpi_score,youth_literacy_count,wash_access,water_access_rate,sanitation_access_rate,dist_to_water,access_50k_minutes,night_light_intensity,dist_to_roads
"St. Monica'S Senior High, Mampong",Senior High School,Ashanti,Mampong Municipal,,,2025 Register DOCX,mampong municipal,7.056139,-1.40425,0.8948895,0.778,0.9753000000000001,0.1,25062.0,0.904994047044438,0.9031438040994948,0.9068442899893812,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
"Christ The King Cath., Obuasi",Senior High School,Ashanti,Obuasi Municipal,,,2025 Register DOCX,obuasi municipal,6.211542,-1.6894045,0.8948895,0.778,0.9753000000000001,0.0,20186.0,0.9874877717820064,0.9970652276815298,0.9779103158824828,107474.075271,205.640155509,0.403666835519,4878.26524939
"St. Jerome Senior High, Abofour",Senior High School,Ashanti,Offinso Municipal,,,2025 Register DOCX,offinso municipal,6.9313793,-1.6671002,0.8948895,0.778,0.9753000000000001,0.1,27311.0,0.9187862690186794,0.9439327886364292,0.8936397494009296,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Dwamena Akenten Senior High,Senior High School,Ashanti,Offinso Municipal,,,2025 Register DOCX,offinso municipal,6.9313793,-1.6671002,0.8948895,0.778,0.9753000000000001,0.1,27311.0,0.9187862690186794,0.9439327886364292,0.8936397494009296,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Ghana Muslim Mission Senior High,Senior High School,Ashanti,Sekyere Central,,,2025 Register DOCX,sekyere central,6.9909657,-1.3670628,0.8948895,0.778,0.9753000000000001,0.2,12271.0,0.7463452308710763,0.7968224195950792,0.6958680421470734,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Nsutaman Cath. Senior High,Senior High School,Ashanti,Sekyere Central,,,2025 Register DOCX,sekyere central,6.9909657,-1.3670628,0.8948895,0.778,0.9753000000000001,0.2,12271.0,0.7463452308710763,0.7968224195950792,0.6958680421470734,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
T. I. Ahmadiyya Girl'S Senior High,Senior High School,Ashanti,Sekyere East,,,2025 Register DOCX,sekyere east,6.8503007,-1.3957283,0.8948895,0.778,0.9753000000000001,0.1,16078.0,0.95837272953471,0.9848718586713112,0.931873600398109,33872.5295063,292.716929495,0.129401612313,5408.83478352
Konadu Yiadom Catholic Senior High,Senior High School,Ashanti,Sekyere South,,,2025 Register DOCX,sekyere south,6.9696028,-1.4758104,0.8948895,0.778,0.9753000000000001,0.1,27274.0,0.9063295804851896,0.9049725237903766,0.9076866371800026,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
"S.D.A. Senior High, Agona",Senior High School,Ashanti,Sekyere South,,,2025 Register DOCX,sekyere south,6.9696028,-1.4758104,0.8948895,0.778,0.9753000000000001,0.1,27274.0,0.9063295804851896,0.9049725237903766,0.9076866371800026,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Agona Senior High/Tech,Senior High Technical School,Ashanti,Sekyere South,,,2025 Register DOCX,sekyere south,6.9696028,-1.4758104,0.8948895,0.778,0.9753000000000001,0.1,27274.0,0.9063295804851896,0.9049725237903766,0.9076866371800026,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Okomfo Anokye Senior High,Senior High School,Ashanti,Sekyere South,,,2025 Register DOCX,sekyere south,6.9696028,-1.4758104,0.8948895,0.778,0.9753000000000001,0.1,27274.0,0.9063295804851896,0.9049725237903766,0.9076866371800026,91906.77835521691,132.57486966470984,12.538350181039155,2717.7469318659155
Berekum Senior High,Senior High School,Bono,Berekum Municipal,,,2025 Register DOCX,berekum municipal,7.4374725,-2.5763269,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Jinijini Senior High,Senior High School,Bono,Berekum Municipal,,,2025 Register DOCX,berekum municipal,7.4527905,-2.657882,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Dormaa Senior High,Senior High School,Bono,Dormaa Central Municipal,,,2025 Register DOCX,dormaa central municipal,7.277784,-2.8584556,0.8948895,0.778,0.9753000000000001,0.1,21333.0,0.971612352728824,0.9900233008434248,0.9532014046142232,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Salvation Army Senior High,Senior High School,Bono,Dormaa Central Municipal,,,2025 Register DOCX,dormaa central municipal,7.2670896,-2.8677897,0.8948895,0.778,0.9753000000000001,0.1,21333.0,0.971612352728824,0.9900233008434248,0.9532014046142232,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Mansen Senior High,Senior High School,Bono,Dormaaeast,,,2025 Register DOCX,dormaaeast,,,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Wamanafo Senior High/Tech,Senior High Technical School,Bono,Dormaaeast,,,2025 Register DOCX,dormaaeast,,,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Nkrankwanta Senior High/Tech,Senior High Technical School,Bono,Dormaawest,,,2025 Register DOCX,dormaawest,,,0.8948895,0.778,0.9753000000000001,0.10270270270270271,19578.702702702703,0.9224967070571669,0.9797179934441175,0.8652754206702163,64167.63402335,207.5498299655308,0.3773397115958461,3211.7394608926925
Diamono Senior High Sch.,Senior High School,Bono,Jaman North,,,2025 Register DOCX,jaman north,7.9132614,-2.6972328,0.8948895,0.778,0.9753000000000001,0.1,22713.0,0.9296784592494628,0.9981401884609026,0.8612167300380228,59670.7270994,236.90860361,0.103262684769,3488.36747621
Nafana Senior High,Senior High School,Bono,Jaman North,,,2025 Register DOCX,jaman north,7.9132614,-2.6972328,0.8948895,0.778,0.9753000000000001,0.1,22713.0,0.9296784592494628,0.9981401884609026,0.8612167300380228,59670.7270994,236.90860361,0.103262684769,3488.36747621
Sumaman Senior High,Senior High School,Bono,Jaman North,,,2025 Register DOCX,jaman north,7.9212696,-2.7180896,0.8948895,0.778,0.9753000000000001,0.1,22713.0,0.9296784592494628,0.9981401884609026,0.8612167300380228,59670.7270994,236.90860361,0.103262684769,3488.36747621
Goka Senior High/Tech.,Senior High Technical School,Bono,Jaman North,,,2025 Register DOCX,jaman north,7.9132614,-2.6972328,0.8948895,0.778,0.9753000000000001,0.1,22713.0,0.9296784592494628,0.9981401884609026,0.8612167300380228,59670.7270994,236.90860361,0.103262684769,3488.36747621
St. Ann'S,Senior High School,Bono,Jaman North,,,2025 Register DOCX,jaman north,7.9624968,-2.6967947,0.8948895,0.778,0.9753000000000001,0.1,22713.0,0.9296784592494628,0.9981401884609026,0.8612167300380228,59670.7270994,236.90860361,0.103262684769,3488.36747621
