school,region,method,old_lat,old_lon,new_lat,new_lon
NAKPANDURI SENIOR HIGH SCHOOL,NORTH EAST,TOWN_LOOKUP:NAKPANDURI,5.5950893,-0.277005,10.6,0.0167
SAKOGU SENIOR HIGH/TECH SCHOOL,NORTH EAST,TOWN_LOOKUP:SAKOGU,10.0272463,-0.9731496,10.1667,-0.25
WULUGU SENIOR HIGH SCHOOL,NORTH EAST,TOWN_LOOKUP:WULUGU,10.6593164,-1.268658,10.2167,-0.5833
WALEWALETECH/ VOC INST.,NORTH EAST,TOWN_LOOKUP:WALEWALE,,,10.35,-0.55
GAMBAGA GIRLS SENIOR HIGH SCHOOL,NORTH EAST,TOWN_LOOKUP:GAMBAGA,7.190168,0.337969,10.5167,-0.4333
LANGBINSI SENIOR HIGH TECHNICAL SCHOOL,NORTH EAST,TOWN_LOOKUP:LANGBINSI,5.3379361,-1.9707293,10.25,-0.4833
TUMU SENIOR HIGH/TECH SCHOOL,UPPER WEST,TOWN_LOOKUP:TUMU,6.6556435,-1.1071968,10.12,-1.95
NANDOM SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:NANDOM,5.8771706,0.3662603,10.75,-2.75
"T. I. AHMADIYYA GIRL'S SENIOR HIGH SCHOOL, ASOKORE",ASHANTI,TOWN_LOOKUP:ASOKORE,,,6.6833,-1.5333
"T. I. AHMADIYYA SENIOR HIGH SCHOOL, WA",UPPER WEST,TOWN_LOOKUP:WA,9.4064815,-0.8770518,10.0601,-2.5099
JAMIAT AL-HIDAYA ISLAMIC GIRLS SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:WA,9.3743188,-0.8407925,10.0601,-2.5099
WA SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:WA,10.6593164,-1.268658,10.0601,-2.5099
WA SENIOR HIGH/TECH SCHOOL,UPPER WEST,TOWN_LOOKUP:WA,10.6593164,-1.268658,10.0601,-2.5099
WA TECH. INST.,UPPER WEST,TOWN_LOOKUP:WA,10.0394737,-2.5040223,10.0601,-2.5099
KALEO SENIOR HIGH/TECH SCHOOL,UPPER WEST,TOWN_LOOKUP:KALEO,9.4226781,-0.8620235,10.25,-2.45
"QUEEN OF PEACE SENIOR HIGH SCHOOL, NADOWLI",UPPER WEST,TOWN_LOOKUP:NADOWLI,,,10.35,-2.65
"ISLAMIC SENIOR HIGH SCHOOL, WA",UPPER WEST,TOWN_LOOKUP:WA,9.3815355,-0.8511432,10.0601,-2.5099
AKWATIA TECH. INST.,EASTERN,TOWN_LOOKUP:AKWATIA,6.0310013,-0.8051658,5.9833,-0.8
ST.JOHN'S VOC. TECH. INSTITUTE,UPPER WEST,TOWN_LOOKUP:NANDOM,,,10.75,-2.75
ST. BASILIDES VOC./TECH. INST.,UPPER WEST,TOWN_LOOKUP:KALEO,,,10.25,-2.45
SANKOR COMM. DAY SENIOR HIGH SCHOOL,WESTERN,TOWN_LOOKUP:SANKOR,7.993766,-0.326021,5.35,-2.35
PRESTEA SENIOR HIGH/TECH SCHOOL,WESTERN,TOWN_LOOKUP:PRESTEA,6.6556435,-1.1071968,5.4333,-2.1333
SOGAKOPE SENIOR HIGH SCHOOL,VOLTA,TOWN_LOOKUP:SOGAKOPE,5.9668857,-0.9929572,6.05,0.6
SEFWI BEKWAI SENIOR HIGH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:SEFWI BEKWAI,10.6593164,-1.268658,6.2,-2.3333
BRAKWA SENIOR HIGH/TECH SCHOOL,CENTRAL,TOWN_LOOKUP:BRAKWA,10.0272463,-0.9731496,5.45,-0.85
"ST. MARTIN'S SENIOR HIGH SCHOOL, NSAWAM",EASTERN,TOWN_LOOKUP:NSAWAM,7.3449525,-2.3439664,5.8,-0.35
AKONTOMBRA SENIOR HIGH SCHOOL,WESTERN NORTH,TOWN_LOOKUP:AKONTOMBRA,5.9926294,0.8187733,6.05,-2.85
LAWRA SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:LAWRA,5.8771706,0.3662603,10.65,-2.85
BIRIFOH SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:LAWRA,9.4273607,-0.8767444,10.65,-2.85
MAAME KROBO COMM. SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:MAAME KROBO,5.4234565,-0.9611574,6.05,-0.4
GARU COMM. DAY SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:GARU,5.9668857,-0.9929572,10.85,-0.22
FUNSI SENIOR HIGH SCHOOL,UPPER WEST,TOWN_LOOKUP:FUNSI,6.6903393,-1.5480316,10.45,-1.8
WIAGA COMM. SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:WIAGA,10.6593164,-1.268658,10.68,-0.88
SANDEMA SENIOR HIGH SCHOOL,UPPER EAST,TOWN_LOOKUP:SANDEMA,5.8771706,0.3662603,10.7333,-1.2833
DAMONGO SENIOR HIGH SCHOOL,SAVANNAH,TOWN_LOOKUP:DAMONGO,5.9668857,-0.9929572,9.0833,-1.8167
